Vehicle brand,model,year,Engine name,Engine type,Power output,torque,topSpeed,acceleration,weight,bootSpace,wikipediaSufix,awards
Audi,RS 4 Avant,2019,2.9 TFSI V6,petrol,450,600,250,4.10,1745,495,Audi_RS_4,Best Performance Wagon from ST-Torque Awards
Audi,RS 6 Avant,2019,4.0-liter V-8,petrol,441,800,250,3.60,2075,565,Audi_RS_6,Family car of the year from Top Gear
Audi,A8,2020,3.0-liter V-6,petrol,250,500,250,5.60,1960,505,Audi_A8,"Best user experience from Wards 10, Best Luxury Car from PArkers"
